epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1602,1.11969,1.30864,1.23905,0.82406,0.66545,0.76089,0.59109,0.93506,0.78954,1.03178,8.33e-06,8.33e-06,8.33e-06
2,69.3814,1.16704,1.14981,1.22491,0.83336,0.6914,0.78057,0.60605,0.91825,0.75567,1.02053,1.78326e-05,1.78326e-05,1.78326e-05
3,109.672,1.11018,1.24185,1.21192,0.81761,0.70861,0.79276,0.61771,0.90847,0.73977,1.01402,2.72632e-05,2.72632e-05,2.72632e-05
4,152.48,1.10197,1.03345,1.20051,0.7864,0.73465,0.8021,0.62444,0.89892,0.73021,1.00811,3.65666e-05,3.65666e-05,3.65666e-05
5,195.579,1.09632,1.02525,1.20321,0.77558,0.76283,0.81323,0.63474,0.88228,0.71466,0.99972,4.56883e-05,4.56883e-05,4.56883e-05
6,240.378,1.07243,1.0371,1.17741,0.84005,0.73705,0.8201,0.64324,0.86914,0.69752,0.99572,5.4575e-05,5.4575e-05,5.4575e-05
7,285.146,1.04192,1.03454,1.16691,0.83687,0.7301,0.81299,0.6395,0.85449,0.68197,0.98901,6.31749e-05,6.31749e-05,6.31749e-05
8,336.154,1.03233,0.97812,1.16365,0.78838,0.67239,0.727,0.57468,0.83738,0.65873,0.98088,7.14381e-05,7.14381e-05,7.14381e-05
9,387.343,1.00149,0.91922,1.13289,0.78267,0.69358,0.74459,0.58964,0.82449,0.6387,0.97473,7.93168e-05,7.93168e-05,7.93168e-05
10,440.925,0.99302,0.93337,1.14265,0.77141,0.71743,0.77095,0.61436,0.81987,0.62777,0.97137,8.67658e-05,8.67658e-05,8.67658e-05
11,491.188,0.96366,0.8601,1.12181,0.80287,0.79453,0.86114,0.68235,0.81688,0.6124,0.96814,9.37426e-05,9.37426e-05,9.37426e-05
12,542.776,0.97998,0.86696,1.12518,0.81186,0.78979,0.85233,0.67385,0.81059,0.60019,0.96188,0.000100208,0.000100208,0.000100208
13,597.195,0.98852,0.90695,1.11114,0.81984,0.80596,0.86129,0.68661,0.8056,0.59224,0.95686,0.000103035,0.000103035,0.000103035
14,652.743,0.99905,0.94812,1.14258,0.83463,0.81385,0.87579,0.70139,0.79977,0.57966,0.95277,0.000100418,0.000100418,0.000100418
15,704.512,0.98413,0.86251,1.12571,0.86419,0.80307,0.87761,0.70663,0.79176,0.56476,0.94796,9.76425e-05,9.76425e-05,9.76425e-05
16,758.546,0.99103,0.91163,1.12066,0.88766,0.80334,0.88358,0.71691,0.7846,0.5549,0.94394,9.47185e-05,9.47185e-05,9.47185e-05
